"chain","co_owned","date","hrsopen","observation","open","sheet","status","emptot","time","treated"
"bk","no",NA,16.5,"February 1992",6.5,46,NA,40.5,0,0
"kfc","no",NA,13,"February 1992",10,49,NA,13.75,0,0
"kfc","yes",NA,10,"February 1992",11,506,NA,8.5,0,0
"wendys","yes",NA,12,"February 1992",10,56,NA,34,0,0
"wendys","yes",NA,12,"February 1992",10,61,NA,24,0,0
"wendys","yes",NA,12,"February 1992",10,62,NA,20.5,0,0
"bk","no",NA,18,"February 1992",6,445,NA,70.5,0,0
"bk","no",NA,24,"February 1992",0,451,NA,23.5,0,0
"kfc","yes",NA,10,"February 1992",11,455,NA,11,0,0
"kfc","yes",NA,10,"February 1992",11,458,NA,9,0,0
"roys","yes",NA,12.5,"February 1992",9,462,NA,15.5,0,0
"bk","no",NA,18,"February 1992",6,468,NA,58,0,0
"bk","no",NA,18,"February 1992",6,469,NA,26.5,0,0
"bk","no",NA,18,"February 1992",6,470,NA,28.5,0,0
"bk","no",NA,12.5,"February 1992",9,474,NA,13.5,0,0
"kfc","yes",NA,10,"February 1992",11,481,NA,16.75,0,0
"kfc","yes",NA,10,"February 1992",11,483,NA,9.5,0,0
"roys","yes",NA,11.5,"February 1992",10,487,NA,15,0,0
"roys","no",NA,16,"February 1992",6,488,NA,29.5,0,0
"roys","no",NA,14,"February 1992",7,489,NA,18.5,0,0
"roys","yes",NA,16,"February 1992",6,490,NA,20.25,0,0
"roys","yes",NA,16,"February 1992",6,493,NA,36,0,0
"roys","no",NA,15,"February 1992",7,495,NA,21,0,0
"roys","yes",NA,16,"February 1992",6,496,NA,20.5,0,0
"wendys","yes",NA,12,"February 1992",10,499,NA,19,0,0
"roys","yes",NA,16,"February 1992",6,509,NA,14,0,0
"roys","yes",NA,16,"February 1992",6,515,NA,19,0,0
"bk","no",NA,16.5,"February 1992",6.5,37,NA,32.5,0,0
"bk","no",NA,17.5,"February 1992",6.5,39,NA,19,0,0
"bk","no",NA,16.5,"February 1992",6.5,40,NA,27,0,0
"bk","no",NA,16.5,"February 1992",6.5,41,NA,19.5,0,0
"bk","no",NA,16.5,"February 1992",6.5,42,NA,24,0,0
"bk","no",NA,16,"February 1992",7,45,NA,18,0,0
"bk","no",NA,17,"February 1992",6,47,NA,NA,0,0
"bk","no",NA,14,"February 1992",7,48,NA,19,0,0
"kfc","no",NA,12,"February 1992",10,50,NA,14,0,0
"kfc","no",NA,13,"February 1992",10,51,NA,10.5,0,0
"wendys","yes",NA,12,"February 1992",10,57,NA,38,0,0
"wendys","yes",NA,12,"February 1992",10,58,NA,23.5,0,0
"wendys","no",NA,10.5,"February 1992",7.5,59,NA,10.5,0,0
"wendys","no",NA,11.5,"February 1992",10.5,60,NA,25,0,0
"kfc","yes",NA,10,"February 1992",11,407,NA,11,0,0
"bk","no",NA,15,"February 1992",7,430,NA,36.5,0,0
"bk","no",NA,16,"February 1992",7,432,NA,52.5,0,0
"bk","no",NA,16,"February 1992",7,433,NA,29,0,0
"bk","no",NA,16,"February 1992",7,434,NA,45,0,0
"bk","no",NA,15.5,"February 1992",6.5,435,NA,22.75,0,0
"kfc","no",NA,8,"February 1992",11,438,NA,7.5,0,0
"wendys","no",NA,11.5,"February 1992",10.5,440,NA,15.5,0,0
"wendys","no",NA,11.5,"February 1992",10.5,441,NA,38,0,0
"wendys","no",NA,11.5,"February 1992",10.5,443,NA,17.5,0,0
"wendys","no",NA,12.5,"February 1992",10.5,444,NA,25,0,0
"bk","no",NA,18,"February 1992",6,446,NA,NA,0,0
"bk","no",NA,18,"February 1992",6,448,NA,21,0,0
"bk","no",NA,18,"February 1992",6,449,NA,15.5,0,0
"bk","no",NA,16.5,"February 1992",6.5,450,NA,15.5,0,0
"kfc","yes",NA,10,"February 1992",11,454,NA,8.5,0,0
"roys","yes",NA,16,"February 1992",6,459,NA,18,0,0
"wendys","no",NA,11.5,"February 1992",10.5,466,NA,20.75,0,0
"bk","no",NA,18,"February 1992",6,471,NA,39,0,0
"bk","no",NA,16.5,"February 1992",6.5,472,NA,41.5,0,0
"bk","no",NA,17,"February 1992",6,473,NA,22.5,0,0
"bk","no",NA,15,"February 1992",7,475,NA,32,0,0
"bk","no",NA,18,"February 1992",6,476,NA,24,0,0
"bk","no",NA,16.5,"February 1992",6.5,477,NA,26,0,0
"bk","no",NA,19,"February 1992",6,478,NA,48.5,0,0
"kfc","yes",NA,10,"February 1992",11,485,NA,8.5,0,0
"roys","no",NA,13,"February 1992",8.5,491,NA,18.5,0,0
"roys","yes",NA,12.5,"February 1992",9,492,NA,13,0,0
"wendys","yes",NA,12,"February 1992",10,497,NA,22.5,0,0
"wendys","yes",NA,12,"February 1992",10,498,NA,28,0,0
"bk","no",NA,16.5,"February 1992",6.5,501,NA,24.5,0,0
"bk","no",NA,16.5,"February 1992",6.5,503,NA,18.5,0,0
"roys","yes",NA,16,"February 1992",6,510,NA,23.5,0,0
"roys","yes",NA,16.5,"February 1992",6,511,NA,15,0,0
"roys","no",NA,16,"February 1992",6,514,NA,18,0,0
"roys","yes",NA,16,"February 1992",6,516,NA,20.25,0,0
"bk","no",NA,16.5,"February 1992",6.5,521,NA,15.5,0,0
"bk","no",NA,16,"February 1992",7,522,NA,21,0,0
"bk","no",NA,16,"February 1992",7,113,NA,15,0,1
"bk","no",NA,14.5,"February 1992",7,123,NA,15,0,1
"roys","no",NA,12.5,"February 1992",9,135,NA,24,0,1
"roys","yes",NA,11.5,"February 1992",10,138,NA,19.25,0,1
"bk","no",NA,17,"February 1992",7,153,NA,21.5,0,1
"kfc","no",NA,11,"February 1992",10.5,181,NA,9.5,0,1
"wendys","no",NA,12,"February 1992",10.5,191,NA,44,0,1
"bk","no",NA,16,"February 1992",7,231,NA,NA,0,1
"bk","no",NA,17,"February 1992",7,236,NA,21,0,1
"wendys","no",NA,16,"February 1992",7,254,NA,28,0,1
"wendys","no",NA,14,"February 1992",7,255,NA,10,0,1
"bk","no",NA,16,"February 1992",7,294,NA,20.5,0,1
"roys","yes",NA,17,"February 1992",6,306,NA,25.5,0,1
"wendys","no",NA,11.5,"February 1992",10.5,311,NA,19,0,1
