"koddz","prywatna","zam_miasto","zam_wies","zam_liczba","wiek_m","wiek_o","edu_o","edu_m","prestiz_m","prestiz_o","dochod_g","bieda","wynik"
0001002C,0,1,0,1,47,45,0,0,53.5,77.5,62500.5,0,60.043
0001004C,0,1,0,1,41,48,0,0,34.95,53.5,45000.5,0,56.28
0001010C,0,1,0,1,43,55,0,0,63.43,53.5,62500.5,0,55.272
0001011C,1,1,0,1,38,39,0,0,53.5,53.5,87500.5,0,64.604
0001012C,0,1,0,1,47,57,0,0,61.56,77.5,150000.5,0,75.721
0002004C,0,1,0,1,41,41,0,0,38.18,53.5,62500.5,0,54.248
0002008C,0,1,0,1,31,32,1,1,34.95,29.6,32500.5,0,40.064
0002010C,0,1,0,1,38,41,0,0,63.43,33.42,37500.5,0,46.097
0002011C,0,1,0,1,26,28,1,1,35.78,29.6,45000.5,0,53.336
0002018C,0,1,0,1,38,40,1,0,34.95,34.95,62500.5,0,57.767
0002022C,0,1,0,1,27,30,1,1,38.18,38.18,62500.5,0,57.237
0002024C,0,1,0,1,40,43,1,1,38.18,53.5,62500.5,0,45.384
0005009C,0,1,0,1,33,30,1,0,34.95,35.92,17500.5,1,50.257
0005013C,0,0,0,1,36,48,1,1,33.42,33.42,17500.5,1,44.564
0006001C,0,0,0,1,42,54,1,1,35.78,34.95,22500.5,1,56.236
0006002C,0,0,0,1,42,45,1,0,29.6,34.95,12500.5,1,41.063
0006003C,0,1,0,1,39,39,0,0,53.5,53.5,87500.5,0,54.404
0006005C,0,1,0,1,37,38,0,0,34.95,53.5,62500.5,0,70.107
0006007C,0,1,0,1,37,36,1,0,53.5,39.2,45000.5,0,57.567
0006011C,0,1,0,1,28,32,1,1,29.6,35.78,27500.5,0,47.199
0006017C,0,1,0,1,34,39,1,1,38.18,53.5,37500.5,0,65.741
0007004C,1,1,0,2,41,45,0,0,57.83,35.78,150000.5,0,64.935
0007006C,1,1,0,1,35,37,0,0,53.5,63.43,87500.5,0,45.63
0007009C,1,1,0,1,37,46,1,1,35.78,35.78,150000.5,0,41.637
0007018C,1,1,0,1,40,39,0,0,61.56,62.87,150000.5,0,57.185
0007020C,1,1,0,1,35,52,0,0,61.56,72.1,62500.5,0,64.364
0009003C,0,1,0,1,37,49,1,0,63.43,35.92,87500.5,0,44.731
0009005C,0,1,0,1,38,38,1,1,33.42,39.2,17500.5,1,49.884
0009008C,0,1,0,1,36,39,1,1,33.42,39.2,62500.5,0,42.962
0009009C,0,1,0,1,31,30,0,1,38.18,38.18,32500.5,0,52.571
0009010C,0,1,0,1,35,41,1,1,33.42,34.95,87500.5,0,55.383
0009013C,0,1,0,1,35,40,1,0,53.5,33.42,150000.5,0,60.096
0009014C,0,1,0,1,34,45,1,1,53.5,39.18,87500.5,0,48.597
0009018C,0,1,0,1,43,41,1,1,34.95,39.18,45000.5,0,35.802
0009020C,0,1,0,1,30,29,1,1,34.95,29.6,32500.5,0,33.829
0009022C,0,1,0,1,38,36,0,0,63.43,63.43,62500.5,0,66.911
0009024C,0,1,0,1,34,37,1,1,35.78,39.2,62500.5,0,56.95
0009026C,0,1,0,1,37,49,1,0,63.43,35.92,87500.5,0,43.744
0010003C,0,1,0,1,35,39,1,0,34.95,35.92,12500.5,1,54.888
0010006C,0,1,0,1,37,37,1,1,34.95,38.18,27500.5,0,45.098
0010008C,0,1,0,2,29,33,1,1,34.95,29.6,22500.5,0,27.493
0010011C,0,1,0,1,30,31,1,1,34.95,39.18,5000,1,47.341
0010015C,0,1,0,1,39,44,1,1,33.42,34.95,87500.5,0,48.33
0010016C,0,1,0,1,32,39,1,1,34.95,53.5,45000.5,0,41.401
0010018C,0,1,0,1,48,48,0,0,61.56,59,150000.5,0,63.365
0010020C,0,1,0,1,29,30,1,1,38.18,35.92,22500.5,0,37.569
0011002C,0,1,0,1,34,38,1,0,34.95,33.42,62500.5,0,54.204
0011003C,0,1,0,2,35,43,1,1,34.95,35.78,87500.5,0,61.28
0011004C,0,1,0,1,43,49,0,0,59,35.63,150000.5,0,60.838
0011007C,0,1,0,1,40,43,1,1,34.95,33.42,87500.5,0,55.124
0011009C,0,1,0,1,34,39,1,1,34.95,39.2,62500.5,0,44.839
0011010C,0,1,0,1,34,40,1,0,38.18,39.2,45000.5,0,44.921
0011011C,0,1,0,1,37,39,1,0,53.5,39.18,62500.5,0,50.489
0011013C,0,1,0,1,46,47,1,1,34.95,38.18,45000.5,0,68.39
0011014C,0,1,0,1,34,37,0,1,57.83,39.2,45000.5,0,49.496
0011017C,0,1,0,1,38,39,0,0,34.95,39.18,45000.5,0,59.002
0011019C,0,1,0,1,39,37,0,0,35.78,53.5,62500.5,0,49.446
0011021C,0,1,0,1,40,42,1,1,53.5,53.5,150000.5,0,42.981
0011023C,0,1,0,1,32,37,1,0,38.18,63.43,62500.5,0,49.277
