ID;grupa;plec;edu_wy;doch_przed;doch_po
1;0;K;0;2496;2787
2;0;M;1;4912;5137
3;0;K;0;2927;3124
4;0;M;1;4461;4656
5;0;M;0;4057;4062
6;0;M;1;3744;4022
7;0;M;0;3724;3769
8;0;M;0;4521;4532
9;0;K;0;3604;3694
10;0;M;0;4167;4268
11;0;K;0;3887;4080
12;1;K;0;4197;5152
13;0;K;0;3653;3698
14;0;K;0;3464;3590
15;0;K;1;4105;4311
16;0;M;0;3196;3340
17;1;K;1;4039;4953
18;0;M;1;5394;5491
19;0;K;0;3187;3421
20;0;M;1;5926;6047
21;0;M;0;3304;3519
22;0;M;1;3849;3949
23;0;M;0;3429;3600
24;0;K;0;3367;3413
25;0;K;0;2168;2202
26;1;K;1;4820;5372
27;0;M;0;3115;3239
28;0;M;0;4075;4222
29;0;K;0;2506;2789
30;1;K;1;4327;5203
31;0;M;0;2937;3236
32;0;M;0;3995;4094
33;1;K;0;3051;3898
34;0;K;0;3130;3262
35;0;K;1;2930;3213
36;0;M;0;3235;3300
37;0;M;1;3923;4016
38;0;M;0;4948;5001
39;0;M;0;3728;3953
40;1;M;1;5031;5670
41;1;M;1;5859;6471
42;1;K;1;4021;4547
43;0;M;0;3906;3992
44;1;M;0;4345;5213
45;0;K;1;3515;3558
46;0;M;0;3748;3834
47;0;K;1;4559;4713
48;0;K;0;3034;3068
49;0;K;0;2758;3023
50;1;K;1;4912;5759
