interwencja;p.stresu;plec;mniejszosc;studia;partner;zamieszkanie;praca;alkohol;wiek
0;13;0;0;1;1;0;1;0;63
0;11;0;0;1;1;0;1;1;48
0;9;0;0;0;0;0;1;1;54
0;12;1;0;1;1;0;1;1;50
0;10;0;0;0;1;1;1;1;67
0;11;0;0;1;0;0;0;0;34
0;22;0;1;0;0;0;1;0;60
0;17;0;0;1;1;0;1;1;55
0;10;1;0;1;1;1;1;1;68
1;20;1;0;1;0;1;1;0;47
0;15;0;0;1;1;0;1;1;59
0;10;1;0;0;1;0;1;1;68
0;13;0;0;1;1;0;0;0;39
0;11;1;0;1;1;0;0;0;45
0;11;1;0;0;1;1;1;1;59
0;18;0;0;0;1;0;1;0;47
0;13;0;0;1;1;0;1;1;55
0;10;1;0;1;1;0;1;1;36
0;14;1;0;1;1;0;1;0;76
0;13;0;0;0;1;0;1;1;58
0;10;1;0;1;1;0;0;0;39
0;9;1;0;0;1;2;1;1;69
0;18;0;0;1;1;0;1;0;45
0;13;1;0;1;1;0;1;1;65
0;14;0;0;1;1;1;0;0;55
0;13;1;0;1;1;0;0;0;70
0;24;1;0;1;1;0;1;1;30
0;13;1;0;1;1;2;1;1;75
0;10;1;0;0;0;0;1;1;70
0;10;1;0;1;1;0;1;1;45
0;10;0;0;1;1;0;1;1;31
0;13;1;0;0;0;2;1;1;79
0;14;0;0;1;1;2;1;1;31
0;15;0;0;1;1;0;1;1;66
0;11;0;0;1;1;0;1;0;37
0;25;1;0;1;1;0;1;0;36
0;11;0;0;1;1;0;1;1;39
0;13;0;0;1;0;0;1;0;45
0;23;0;0;1;1;0;1;1;43
0;19;0;0;1;1;1;1;1;61
0;17;1;0;0;1;0;1;1;68
0;15;0;0;1;1;2;1;1;39
0;24;0;0;0;0;1;1;0;63
0;14;1;0;1;1;0;1;0;37
0;13;0;0;1;1;0;1;1;40
0;11;0;0;1;1;1;0;0;35
0;13;0;0;1;0;0;1;1;72
0;13;0;0;1;0;0;1;0;72
0;23;0;0;0;0;0;1;1;77
1;29;0;0;0;0;0;1;1;47
0;10;0;0;1;1;0;1;0;48
0;14;1;0;1;1;0;1;0;31
0;13;0;0;1;1;0;1;0;37
0;9;0;0;0;0;0;1;0;57
1;15;0;0;0;1;2;1;1;37
0;10;0;0;0;1;0;1;1;65
0;17;0;0;1;0;1;1;0;42
1;12;1;1;0;1;0;1;0;66
0;13;1;0;1;0;2;1;0;46
0;15;0;0;1;1;0;1;0;58
0;11;0;0;0;0;0;1;0;64
0;17;1;0;1;1;0;1;0;59
